text
show
go
keep
know
None
None
’s
come
move
mean
’s
None
gestures
digs
follow
know
None
got
’s
believe
got
None
like
follow
decided
use
None
take
’m
None
None
None
betcha
get
meet
tell
met
’s
swear
know
likes
come
think
tell
’s
None
None
None
smells
talks
need
go
None
know
gon
keep
None
like
belong
’re
’m
mean
look
’s
go
taken
pass
talkin
None
sayin
see
None
None
None
None
wanna
call
None
talk
ai
’m
smack
chill
driving
wants
passed
care
None
None
gon
None
ai
’m
None
mean
makin
None
None
come
None
None
know
None
None
None
gon
None
None
None
report
know
pulled
ai
’s
acts
pulled
ai
rolling
need
got
got
None
think
tell
None
’s
say
know
kidding
say
None
None
None
None
believe
’m
None
recognize
frustrates
see
stick
place
see
’s
’s
None
None
say
feel
’s
pulled
mean
tell
’s
’s
’s
know
tell
None
cause
took
think
got
’s
None
hurt
know
None
None
None
None
get
’s
None
None
None
None
punch
None
None
went
throwed
make
know
got
drove
went
None
None
None
None
None
snuff
fainted
used
foolin
None
’re
think
ai
making
think
’m
make
heard
believe
need
need
ai
know
find
need
None
gon
know
None
ca
None
’s
None
None
None
comes
None
go
None
kick
got
beat
None
tell
type
None
None
None
None
’s
None
None
ca
None
’s
’re
think
None
None
None
telling
squat
drive
runs
go
thought
None
None
None
wait
keeping
None
pick
feel
need
move
move
come
stop
get
None
talk
play
’m
play
’re
None
costing
’s
care
gon
come
suck
None
break
call
con
talking
make
’m
saying
saying
’s
teach
means
’s
try
see
’re
move
bend
gon
huff
tire
jump
call
practice
know
come
works
’s
’s
None
showed
go
lying
went
imagine
huff
ai
made
gon
None
pick
’s
mean
asked
need
None
None
None
None
None
come
inherited
’s
lose
win
’m
’m
go
’s
hate
made
make
’s
kidding
None
None
None
go
like
get
know
’m
saying
’m
None
talking
None
know
go
know
gon
None
talking
like
believe
telling
asking
hear
None
crush
worry
want
understand
’re
None
understand
’m
will
None
going
know
think
develop
None
want
’m
want
shut
know
informs
know
None
None
gon
need
None
love
will
None
believe
None
find
acting
mean
None
noticed
believe
’s
happen
misplaced
None
understand
doing
caught
None
went
eyeing
heard
followed
happened
None
walked
None
give
None
overhearing
want
’s
noticed
seems
None
noticed
went
appears
walking
make
caught
notice
think
None
heard
sworn
mean
’m
None
heard
entered
None
None
think
made
None
shake
tent
know
study
None
None
None
gone
waddling
utter
None
None
think
believe
None
witnessed
waddling
told
None
None
mentioned
mean
having
thought
discussing
love
speak
arrange
find
None
None
fired
None
could
know
covered
found
made
know
None
None
’s
None
clear
force
’s
’s
None
None
None
forgot
’m
try
seemed
standing
believe
zoned
made
started
wanted
took
kept
found
walking
None
’s
know
’s
None
None
None
get
rest
slleepp
’m
coming
rest
hear
rest
’m
need
’s
go
come
bother
kidding
told
eating
eat
chew
None
breathe
’m
breathe
gon
killed
choking
eat
told
need
choke
eating
favor
want
’s
clean
None
took
make
get
’s
invest
adding
doing
’s
’s
enjoy
None
having
know
need
saying
like
found
’m
having
wish
’s
start
’m
like
says
’m
hearing
want
get
doing
skipped
want
None
jumping
like
go
None
None
’s
None
thought
gon
understood
talked
None
care
say
care
know
None
None
trying
trying
trust
want
’m
live
need
take
work
happen
run
know
happen
’s
hear
see
see
’s
understand
stop
take
saying
None
know
None
get
’s
None
want
playing
None
know
None
None
get
None
’s
like
like
’re
None
None
need
None
leave
understand
want
want
’s
beat
None
None
hurt
None
kicked
saw
ate
come
going
want
get
hoping
eat
applied
None
live
None
feel
know
’s
work
suck
mean
flip
think
need
think
nuke
None
’s
’m
find
’m
mind
coming
loves
love
open
None
None
None
None
None
None
None
know
None
make
None
thinking
’s
’s
’s
None
breathing
None
choking
’s
think
attached
’s
moving
looks
None
think
choking
None
None
None
fainted
think
tell
breathing
doing
None
getting
’s
see
None
None
None
’m
think
None
mean
None
call
spying
save
breathing
None
None
’s
sitting
None
bouncing
None
record
coming
got
None
see
’s
left
None
cheating
think
’re
’re
know
know
None
None
None
None
None
’s
want
’ve
’s
going
want
’s
’s
cheating
’s
imagine
None
None
picks
calling
None
’re
answers
know
’s
answer
None
None
going
’s
borrow
None
look
None
going
resting
see
calls
tell
want
None
call
made
’re
’re
calls
’re
None
draw
’s
’re
close
see
None
stop
used
None
like
go
smell
smell
smell
got
smell
make
smell
living
go
’s
got
seem
None
go
None
watching
warping
’m
’s
ai
start
’s
None
find
seem
mean
None
cross
’s
mean
ponder
ai
eat
give
wake
work
sleep
’re
know
’m
None
None
None
’m
want
gon
take
want
wanna
wish
drown
None
want
’s
None
take
told
wanna
cares
want
want
want
want
want
’m
want
need
got
None
take
guess
guess
’s
got
ai
imagine
want
want
give
met
mentioned
knows
None
’s
forgive
None
None
None
None
None
’s
get
got
be
None
coming
None
None
’re
None
None
’s
’m
swim
want
know
go
know
whip
see
make
give
know
think
feel
take
come
’m
’s
None
